@relation data
@attribute OpSet1 numeric
@attribute OpSet2 numeric
@attribute OpSet3 numeric
@attribute SensorMeasure1 numeric
@attribute SensorMeasure2 numeric
@attribute SensorMeasure3 numeric
@attribute SensorMeasure4 numeric
@attribute SensorMeasure5 numeric
@attribute SensorMeasure6 numeric
@attribute SensorMeasure7 numeric
@attribute SensorMeasure8 numeric
@attribute SensorMeasure9 numeric
@attribute SensorMeasure10 numeric
@attribute SensorMeasure11 numeric
@attribute SensorMeasure12 numeric
@attribute SensorMeasure13 numeric
@attribute SensorMeasure14 numeric
@attribute SensorMeasure15 numeric
@attribute SensorMeasure16 numeric
@attribute SensorMeasure17 numeric
@attribute SensorMeasure18 numeric
@attribute SensorMeasure19 numeric
@attribute SensorMeasure20 numeric
@attribute SensorMeasure21 numeric
@attribute survival_time numeric
@attribute survival_status numeric
@data
34.9983,0.84,100,449.44,555.32,1358.61,1137.23,5.48,8,194.64,2222.65,8341.91,1.02,42.02,183.06,2387.72,8048.56,9.3461,0.02,334,2223,100,14.73,8.8071,148,1
0.0025,0,100,518.67,642.04,1588.91,1404.3,14.62,21.61,552.8,2388.02,9063.58,1.3,47.36,521.38,2388.09,8143.02,8.4285,0.03,393,2388,100,38.88,23.2326,238,0
25.0071,0.62,60,462.54,536.12,1259.83,1051.85,7.05,9.02,175.55,1915.4,8007.99,0.94,36.54,164.49,2028.27,7868.75,10.8783,0.02,307,1915,84.93,14.16,8.612,205,1
42.0046,0.8413,100,445,548.85,1347.88,1124.82,3.91,5.71,139.14,2211.9,8325.07,1.02,42.02,130.68,2388,8085.64,9.3704,0.02,330,2212,100,10.6,6.3916,234,1
35.0044,0.84,100,449.44,555.41,1368.62,1119.25,5.48,8,194.91,2223.05,8355.06,1.02,41.74,182.96,2388.07,8068.75,9.2653,0.02,334,2223,100,14.95,9.0205,153,1
20.0059,0.7,100,491.19,606.93,1478.67,1246.09,9.35,13.66,336.02,2323.93,8719.67,1.08,44.26,315.59,2388.12,8061.99,9.1713,0.02,365,2324,100,24.55,14.627,174,1
10.0076,0.25,100,489.05,604.77,1498.63,1301.21,10.52,15.49,394.05,2318.91,8766.12,1.26,45.2,371.67,2388.08,8126.07,8.6286,0.03,369,2319,100,28.7,17.1857,173,1
42.0039,0.84,100,445,549.85,1349.61,1121.71,3.91,5.71,138.95,2212.09,8331.59,1.02,42.07,131.02,2388.17,8091.83,9.3559,0.02,329,2212,100,10.42,6.3488,150,1
35.0044,0.8408,100,449.44,555.34,1353.35,1127.38,5.48,8,194.67,2222.77,8342.9,1.02,41.98,182.78,2387.88,8058.44,9.3193,0.02,334,2223,100,15.04,8.8947,198,1
42.0041,0.8414,100,445,549.61,1353.42,1119.53,3.91,5.71,138.57,2211.86,8319.35,1.02,41.98,130.47,2387.95,8086.2,9.3558,0.02,330,2212,100,10.81,6.4149,183,1
20.007,0.7006,100,491.19,607.08,1471.68,1247.42,9.35,13.65,335.22,2323.91,8721.41,1.08,44.19,315.62,2388.08,8063.45,9.1734,0.02,363,2324,100,24.69,14.7952,238,0
42.0005,0.84,100,445,549.25,1349.01,1120.06,3.91,5.72,139.24,2211.96,8321.28,1.02,41.85,130.63,2388,8086.19,9.3287,0.02,331,2212,100,10.58,6.3976,238,0
9.9987,0.25,100,489.05,604.15,1494.17,1300.92,10.52,15.49,394.74,2318.85,8778.1,1.26,44.92,372.04,2388.11,8131.2,8.5993,0.03,369,2319,100,28.69,17.1932,226,1
35.0022,0.8412,100,449.44,555.92,1359,1133.86,5.48,8,194.82,2222.8,8339.93,1.02,41.85,183.65,2387.85,8060.27,9.3016,0.02,335,2223,100,14.85,8.9672,192,1
42.0072,0.8402,100,445,548.97,1346.74,1117.05,3.91,5.71,138.99,2211.98,8321.67,1.02,41.74,130.58,2388.07,8093.71,9.3131,0.02,329,2212,100,10.86,6.3295,208,1
25.0038,0.622,60,462.54,536.4,1256.15,1046.77,7.05,9.03,175.94,1915.44,8006.95,0.94,36.56,165.07,2028.4,7880.01,10.8673,0.02,306,1915,84.93,14.3,8.6244,153,1
0.0014,0.0013,100,518.67,642.27,1590.5,1396.14,14.62,21.61,554.38,2388.07,9062.75,1.3,47.23,522.53,2388.02,8140.6,8.4187,0.03,391,2388,100,39.23,23.4638,179,1
20.0071,0.7008,100,491.19,607.53,1475.47,1244.54,9.35,13.65,334.82,2323.93,8727.91,1.08,44.13,314.87,2388.11,8069.36,9.2094,0.02,364,2324,100,24.62,14.7828,208,1
10.0059,0.25,100,489.05,604.54,1500.56,1311.42,10.52,15.49,394.43,2318.88,8788.91,1.26,45.18,371.3,2388.05,8143.06,8.6408,0.03,369,2319,100,28.55,17.1444,162,1
25.0063,0.621,60,462.54,536.97,1260.41,1044.88,7.05,9.03,174.52,1915.32,8009.04,0.94,36.65,164.8,2028.2,7873.69,10.9254,0.02,307,1915,84.93,14.3,8.4732,153,1
35.0034,0.84,100,449.44,555.23,1360.33,1122.06,5.48,8,194.4,2223.06,8354.65,1.02,41.59,182.62,2388.12,8075.45,9.2518,0.02,332,2223,100,14.91,8.9232,188,1
0.0002,0,100,518.67,642.35,1581.95,1396.41,14.62,21.61,553.59,2388.05,9049.37,1.3,47.27,522.09,2388.04,8136.8,8.3946,0.03,394,2388,100,39.04,23.4111,191,1
20.0079,0.7007,100,491.19,606.79,1481.33,1245.6,9.35,13.66,335.33,2323.95,8730.66,1.08,44.14,315.5,2388.11,8065.6,9.1946,0.02,364,2324,100,24.73,14.7962,210,1
19.9985,0.7,100,491.19,607.42,1483.67,1247,9.35,13.66,333.78,2323.97,8716.13,1.08,44.39,314.92,2388.11,8065.36,9.1961,0.02,365,2324,100,24.53,14.664,190,1
42.0054,0.84,100,445,548.81,1347.19,1120.99,3.91,5.71,138.46,2211.65,8305.52,1.02,42.06,130.46,2387.74,8071.71,9.3621,0.02,330,2212,100,10.46,6.3126,204,1
0.0009,0,100,518.67,642.45,1584.66,1404.63,14.62,21.61,553.7,2388.07,9059.54,1.3,47.23,521.92,2388.02,8141.14,8.4145,0.03,394,2388,100,38.98,23.3825,186,1
0.0029,0,100,518.67,641.62,1588.72,1402.38,14.62,21.61,553.86,2388.09,9050.48,1.3,47.14,521.51,2388.04,8131.29,8.4178,0.03,392,2388,100,38.82,23.39,175,1
41.9981,0.84,100,445,549.52,1347.85,1124.05,3.91,5.72,139.04,2211.7,8305.24,1.02,42.05,130.02,2387.76,8079.56,9.3431,0.02,330,2212,100,10.52,6.2861,199,1
